===============================================================================
Id,NFLX,len,datetime,open,high,low,close,volume,openinterest,AMZN,len,datetime,open,high,low,close,volume,openinterest,Strategy_pairGen,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,NFLX,AMZN
12,NFLX,12,2021-08-02 23:59:59.999989,145.7167,145.7916,145.1525,145.3023,7641910.0,0.0,AMZN,12,2021-08-02 23:59:59.999989,285.81,285.89,284.63,284.83,1790498.0,0.0,Strategy_pairGen,12,738004.9999999999,Broker,12,100000.0,100000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,NFLX,13,2021-08-02 23:59:59.999989,145.3023,145.3023,145.0427,145.1226,3759548.0,0.0,AMZN,13,2021-08-02 23:59:59.999989,284.82,284.88,284.52,284.62,2091741.0,0.0,Strategy_pairGen,13,738004.9999999999,Broker,13,100000.0,100000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,NFLX,14,2021-08-02 23:59:59.999989,145.0926,145.3023,145.0527,145.0826,65583.0,0.0,AMZN,14,2021-08-02 23:59:59.999989,284.61,284.63,284.53,284.55,2273.0,0.0,Strategy_pairGen,14,738004.9999999999,Broker,14,100000.0,100000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,NFLX,15,2021-08-02 23:59:59.999989,145.0926,145.1925,145.0826,145.1825,27544.0,0.0,AMZN,15,2021-08-02 23:59:59.999989,284.6,284.8,284.6,284.65,3681.0,0.0,Strategy_pairGen,15,738004.9999999999,Broker,15,100000.0,100000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,NFLX,16,2021-08-02 23:59:59.999989,145.1326,145.1725,145.0327,145.0327,40340.0,0.0,AMZN,16,2021-08-02 23:59:59.999989,284.7399,284.7399,284.5,284.69,1935.0,0.0,Strategy_pairGen,16,738004.9999999999,Broker,16,100000.0,100000.0,BuySell,16,,,BuySell,16,,,DataTrades,16,,
17,NFLX,17,2021-08-03 23:59:59.999989,145.8814,146.1311,145.5719,145.6817,12873.0,0.0,AMZN,17,2021-08-03 23:59:59.999989,284.97,285.44,284.97,285.44,557.0,0.0,Strategy_pairGen,17,738005.9999999999,Broker,17,100000.0,100000.0,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,NFLX,18,2021-08-03 23:59:59.999989,145.6817,145.6817,145.2124,145.532,10663.0,0.0,AMZN,18,2021-08-03 23:59:59.999989,285.54,285.6,285.1,285.4,1220.0,0.0,Strategy_pairGen,18,738005.9999999999,Broker,18,100000.0,100000.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,NFLX,19,2021-08-03 23:59:59.999989,145.6118,145.6518,145.4421,145.5719,11622.0,0.0,AMZN,19,2021-08-03 23:59:59.999989,285.27,285.4,285.25,285.35,1160.0,0.0,Strategy_pairGen,19,738005.9999999999,Broker,19,100000.0,100000.0,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,NFLX,20,2021-08-03 23:59:59.999989,145.522,145.5819,145.1725,145.472,81114.0,0.0,AMZN,20,2021-08-03 23:59:59.999989,285.33,285.37,284.76,284.76,3242.0,0.0,Strategy_pairGen,20,738005.9999999999,Broker,20,100000.0,100000.0,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,NFLX,21,2021-08-03 23:59:59.999989,145.3823,145.6718,145.2723,145.6318,632080.0,0.0,AMZN,21,2021-08-03 23:59:59.999989,285.0,285.3895,284.75,285.3,113315.0,0.0,Strategy_pairGen,21,738005.9999999999,Broker,21,100000.0,100000.0,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,NFLX,22,2021-08-03 23:59:59.999989,145.6418,146.3807,144.9628,145.3055,9279119.0,0.0,AMZN,22,2021-08-03 23:59:59.999989,285.4,286.89,284.54,284.93,1704930.0,0.0,Strategy_pairGen,22,738005.9999999999,Broker,22,100000.0,100000.0,BuySell,22,,,BuySell,22,,,DataTrades,22,,
