Date,A,AA,AAPL,AMZN
2021-12-29,160.649994,59.630001,179.380005,3384.02002
2021-12-30,160.880005,59.209999,178.199997,3372.889893
2021-12-31,159.649994,59.580002,177.570007,3334.340088
2022-01-03,156.479996,60.360001,182.009995,3408.090088
2022-01-04,151.190002,57.529999,179.699997,3350.439941
2022-01-05,148.600006,58.549999,174.919998,3287.139893
2022-01-06,149.119995,58.450001,172.0,3265.080078
2022-01-07,145.149994,62.369999,172.169998,3251.080078
2022-01-10,145.160004,61.540001,172.190002,3229.719971
2022-01-11,146.639999,62.200001,175.080002,3307.23999
2022-01-12,149.509995,61.880001,175.529999,3304.139893
2022-01-13,145.169998,60.509998,172.190002,3224.280029
2022-01-14,144.679993,61.389999,173.070007,3242.76001
2022-01-18,140.470001,60.049999,169.800003,3178.350098
2022-01-19,140.429993,59.630001,166.229996,3125.97998
2022-01-20,139.479996,61.25,164.509995,3033.350098
2022-01-21,137.509995,56.209999,162.410004,2852.860107
2022-01-24,138.119995,58.02,161.619995,2890.879883
2022-01-25,134.570007,61.209999,159.779999,2799.719971
2022-01-26,133.509995,60.75,159.690002,2777.449951
2022-01-27,132.089996,58.029999,159.220001,2792.75
2022-01-28,137.059998,57.400002,170.330002,2879.560059
2022-01-31,139.320007,56.709999,174.779999,2991.469971
2022-02-01,141.029999,58.169998,174.610001,3023.870117
2022-02-02,144.240005,59.209999,175.839996,3012.25
2022-02-03,141.789993,62.740002,172.899994,2776.909912
2022-02-04,141.119995,64.220001,172.389999,3152.790039
2022-02-07,140.369995,63.75,171.660004,3158.709961
2022-02-08,140.809998,69.970001,174.830002,3228.27002
2022-02-09,144.440002,71.910004,176.279999,3223.790039
2022-02-10,141.660004,71.169998,172.119995,3180.070068
2022-02-11,137.199997,73.519997,168.639999,3065.870117
2022-02-14,135.210007,73.860001,168.880005,3103.340088
2022-02-15,135.910004,74.040001,172.789993,3130.209961
2022-02-16,135.149994,77.839996,172.550003,3162.01001
2022-02-17,130.25,76.470001,168.880005,3093.050049
2022-02-18,132.050003,78.199997,167.300003,3052.030029
2022-02-22,130.490005,74.089996,164.320007,3003.949951
2022-02-23,126.0,75.32,160.070007,2896.540039
2022-02-24,128.149994,73.300003,162.740005,3027.159912
2022-02-25,133.729996,77.849998,164.850006,3075.77002
2022-02-28,130.360001,75.339996,165.119995,3071.26001
2022-03-01,131.929993,79.779999,163.199997,3022.840088
2022-03-02,133.160004,82.559998,166.559998,3041.050049
2022-03-03,137.169998,82.889999,166.229996,2957.969971
2022-03-04,133.889999,90.660004,163.169998,2912.820068
2022-03-07,130.339996,85.400002,159.300003,2749.060059
2022-03-08,129.320007,82.370003,157.440002,2720.290039
2022-03-09,133.259995,79.519997,162.949997,2785.580078
